test -  48.761 1.3e-05
b got frame  -  00.024 0.263568
b got frame  -  00.185 0.160425
b got frame  -  00.255 0.070247
b got frame  -  00.274 0.019096
b got frame  -  00.293 0.018654
b got frame  -  00.314 0.021141
b got frame  -  00.339 0.025344
b got frame  -  00.358 0.018385
b got frame  -  00.380 0.022362
b got frame  -  00.413 0.033046
b got frame  -  00.430 0.016596
b got frame  -  00.449 0.019153
b got frame  -  00.470 0.021021
b got frame  -  00.490 0.02019
b got frame  -  00.527 0.037495
b got frame  -  00.544 0.01639
b got frame  -  00.563 0.019223
b got frame  -  00.590 0.026775
b got frame  -  00.607 0.016731
b got frame  -  00.626 0.01913
b got frame  -  00.650 0.024159
b got frame  -  00.683 0.03305
b got frame  -  00.699 0.016424
b got frame  -  00.721 0.022037
b got frame  -  00.740 0.018585
b got frame  -  00.764 0.024022
b got frame  -  00.783 0.018934
b got frame  -  00.815 0.03161
b got frame  -  00.840 0.025673
b got frame  -  00.857 0.016623
b got frame  -  00.870 0.013477
b got frame  -  00.903 0.032901
b got frame  -  00.914 0.010961
b got frame  -  00.928 0.013356
b got frame  -  00.948 0.02064
b got frame  -  00.964 0.015849
b got frame  -  00.982 0.018365
b got frame  -  01.001 0.019007
b got frame  -  01.020 0.018155
b got frame  -  01.042 0.022019
b got frame  -  01.057 0.015089
b got frame  -  01.070 0.013606
b got frame  -  01.093 0.022447
b got frame  -  01.112 0.019302
b got frame  -  01.129 0.016774
b got frame  -  01.144 0.015053
b got frame  -  01.167 0.023163
b got frame  -  01.188 0.021102
b got frame  -  01.212 0.023882
b got frame  -  01.236 0.02446
b got frame  -  01.248 0.011526
b got frame  -  01.260 0.012006
b got frame  -  01.297 0.037394
b got frame  -  01.308 0.010928
b got frame  -  01.354 0.045879
b got frame  -  01.365 0.011277
b got frame  -  01.414 0.048911
b got frame  -  01.426 0.01157
[h264 @ 0x2e729d60] left block unavailable for requested intra4x4 mode -1
[h264 @ 0x2e729d60] error while decoding MB 0 25, bytestream 333
b got frame  -  01.899 0.472685
b got frame  -  01.929 0.030013
b got frame  -  01.940 0.011529
b got frame  -  01.953 0.013079
b got frame  -  01.972 0.018842
b got frame  -  01.996 0.024201
b got frame  -  02.023 0.026517
b got frame  -  02.045 0.022168
b got frame  -  02.057 0.0122
b got frame  -  02.071 0.014087
b got frame  -  02.099 0.028178
b got frame  -  02.111 0.011114
b got frame  -  02.138 0.027169
b got frame  -  02.165 0.027326
b got frame  -  02.178 0.013118
b got frame  -  02.204 0.025411
b got frame  -  02.220 0.015931
b got frame  -  02.236 0.01652
b got frame  -  02.267 0.030976
b got frame  -  02.278 0.011
b got frame  -  02.560 0.282413
b got frame  -  02.588 0.027762
b got frame  -  02.600 0.01174
b got frame  -  02.627 0.02732
b got frame  -  02.642 0.014787
b got frame  -  02.669 0.026936
b got frame  -  02.681 0.011556
b got frame  -  02.718 0.037109
b got frame  -  02.730 0.012111
b got frame  -  02.745 0.015174
b got frame  -  02.779 0.034086
b got frame  -  03.220 0.440602
b got frame  -  03.250 0.029943
b got frame  -  03.261 0.011789
b got frame  -  03.276 0.0149
b got frame  -  03.297 0.020955
b got frame  -  03.313 0.015786
b got frame  -  03.355 0.042491
b got frame  -  03.366 0.010876
b got frame  -  03.531 0.164292
b got frame  -  03.547 0.016289
b got frame  -  03.722 0.174824
b got frame  -  03.838 0.116423
b got frame  -  03.935 0.097269
b got frame  -  03.962 0.027031
b got frame  -  04.059 0.096276
b got frame  -  04.198 0.139231
b got frame  -  04.319 0.120695
b got frame  -  04.401 0.082688
b got frame  -  04.483 0.081752
b got frame  -  04.512 0.028965
b got frame  -  04.542 0.029505
b got frame  -  04.578 0.036206
b got frame  -  04.627 0.049449
b got frame  -  04.653 0.025832
b got frame  -  04.710 0.057056
b got frame  -  04.744 0.034317
b got frame  -  04.797 0.052554
b got frame  -  04.884 0.086766
b got frame  -  04.917 0.032775
b got frame  -  04.942 0.025574
b got frame  -  05.045 0.103015
b got frame  -  05.104 0.05898
b got frame  -  05.141 0.037326
b got frame  -  05.269 0.127953
b got frame  -  05.315 0.045202
b got frame  -  05.479 0.164183
b got frame  -  05.606 0.127435
b got frame  -  05.680 0.073866
b got frame  -  05.747 0.066606
b got frame  -  05.786 0.039563
b got frame  -  05.816 0.030139
b got frame  -  05.828 0.011229
b got frame  -  05.842 0.014256
b got frame  -  05.862 0.020347
b got frame  -  06.755 0.893096
b got frame  -  06.790 0.034361
b got frame  -  06.813 0.023049
b got frame  -  06.841 0.028122
b got frame  -  06.907 0.066082
b got frame  -  06.944 0.037145
b got frame  -  30.748 0.804044
Terminated
